CONDITION,DATE,DAY OF WEEK,HIGH TEMP,HUMIDITY,LOW TEMP,PRESSURE,SEA LEVEL,STATION ID,WIND DEGREE DIRECTION,WIND SPEED
light rain,06/05/2019,Wed,86.94,66.0,85.95,1014.52,,1,273.0,10.78
light rain,06/05/2019,Wed,85.12,71.0,84.38,1014.36,,1,325.0,1.97
overcast clouds,06/05/2019,Wed,84.02,73.0,83.53,1015.42,,1,179.0,0.4
overcast clouds,06/06/2019,Thu,82.96,73.0,82.71,1014.54,,1,175.0,3.38
overcast clouds,06/06/2019,Thu,81.77,73.0,81.77,1012.81,,1,151.0,6.55
broken clouds,06/06/2019,Thu,81.41,75.0,81.41,1013.56,,1,149.0,7.4
scattered clouds,06/06/2019,Thu,84.52,67.0,84.52,1014.16,,1,163.0,7.63
scattered clouds,06/06/2019,Thu,87.04,62.0,87.04,1013.37,,1,222.0,10.87
overcast clouds,06/06/2019,Thu,86.32,64.0,86.32,1012.14,,1,246.0,11.7
broken clouds,06/06/2019,Thu,84.7,69.0,84.7,1012.25,,1,242.0,6.17
overcast clouds,06/06/2019,Thu,83.57,75.0,83.57,1013.49,,1,242.0,1.54
overcast clouds,06/07/2019,Fri,82.82,76.0,82.82,1012.41,,1,172.0,0.78
overcast clouds,06/07/2019,Fri,82.31,74.0,82.31,1011.28,,1,154.0,3.36
overcast clouds,06/07/2019,Fri,82.31,74.0,82.31,1011.92,,1,150.0,7.16
broken clouds,06/07/2019,Fri,85.22,67.0,85.22,1012.62,,1,174.0,9.24
broken clouds,06/07/2019,Fri,87.2,63.0,87.2,1012.01,,1,208.0,13.38
overcast clouds,06/07/2019,Fri,85.72,70.0,85.72,1010.32,,1,219.0,12.08
overcast clouds,06/07/2019,Fri,84.83,73.0,84.83,1010.7,,1,236.0,7.16
overcast clouds,06/07/2019,Fri,84.29,74.0,84.29,1012.5,,1,244.0,5.3
overcast clouds,06/08/2019,Sat,83.72,75.0,83.72,1011.66,,1,202.0,4.27
light rain,06/08/2019,Sat,83.31,75.0,83.31,1010.88,,1,173.0,6.62
overcast clouds,06/08/2019,Sat,83.36,76.0,83.36,1012.03,,1,171.0,9.66
overcast clouds,06/08/2019,Sat,85.55,70.0,85.55,1013.09,,1,199.0,11.83
broken clouds,06/08/2019,Sat,87.27,65.0,87.27,1012.73,,1,213.0,12.44
scattered clouds,06/08/2019,Sat,87.17,64.0,87.17,1011.54,,1,225.0,11.43
scattered clouds,06/08/2019,Sat,85.47,71.0,85.47,1012.42,,1,219.0,9.19
light rain,06/08/2019,Sat,84.39,76.0,84.39,1013.51,,1,214.0,8.81
light rain,06/09/2019,Sun,83.73,78.0,83.73,1012.43,,1,206.0,9.24
light rain,06/09/2019,Sun,82.98,79.0,82.98,1011.89,,1,195.0,9.93
light rain,06/09/2019,Sun,83.29,77.0,83.29,1013.2,,1,190.0,10.04
light rain,06/09/2019,Sun,85.37,70.0,85.37,1014.11,,1,196.0,12.71
light rain,06/09/2019,Sun,86.64,66.0,86.64,1013.26,,1,220.0,14.09
light rain,06/09/2019,Sun,86.23,71.0,86.23,1012.34,,1,224.0,14.07
light rain,06/09/2019,Sun,84.54,76.0,84.54,1013.37,,1,204.0,13.42
light rain,06/09/2019,Sun,83.87,78.0,83.87,1014.21,,1,203.0,11.54
light rain,06/10/2019,Mon,83.42,78.0,83.42,1013.12,,1,210.0,13.94
broken clouds,06/10/2019,Mon,83.63,78.0,83.63,1012.28,,1,201.0,15.59
light rain,06/10/2019,Mon,83.93,76.0,83.93,1013.33,,1,217.0,14.67
moderate rain,06/10/2019,Mon,85.01,72.0,85.01,1013.71,,1,231.0,14.14
light rain,06/10/2019,Mon,86.71,70.0,86.71,1012.72,,1,216.0,20.0
light rain,06/05/2019,Wed,86.94,66.0,85.95,1014.52,,2,273.0,10.78
light rain,06/05/2019,Wed,85.12,71.0,84.38,1014.36,,2,325.0,1.97
overcast clouds,06/05/2019,Wed,84.02,73.0,83.53,1015.42,,2,179.0,0.4
overcast clouds,06/06/2019,Thu,82.96,73.0,82.71,1014.54,,2,175.0,3.38
overcast clouds,06/06/2019,Thu,81.77,73.0,81.77,1012.81,,2,151.0,6.55
broken clouds,06/06/2019,Thu,81.41,75.0,81.41,1013.56,,2,149.0,7.4
scattered clouds,06/06/2019,Thu,84.52,67.0,84.52,1014.16,,2,163.0,7.63
scattered clouds,06/06/2019,Thu,87.04,62.0,87.04,1013.37,,2,222.0,10.87
overcast clouds,06/06/2019,Thu,86.32,64.0,86.32,1012.14,,2,246.0,11.7
broken clouds,06/06/2019,Thu,84.7,69.0,84.7,1012.25,,2,242.0,6.17
overcast clouds,06/06/2019,Thu,83.57,75.0,83.57,1013.49,,2,242.0,1.54
overcast clouds,06/07/2019,Fri,82.82,76.0,82.82,1012.41,,2,172.0,0.78
overcast clouds,06/07/2019,Fri,82.31,74.0,82.31,1011.28,,2,154.0,3.36
overcast clouds,06/07/2019,Fri,82.31,74.0,82.31,1011.92,,2,150.0,7.16
broken clouds,06/07/2019,Fri,85.22,67.0,85.22,1012.62,,2,174.0,9.24
broken clouds,06/07/2019,Fri,87.2,63.0,87.2,1012.01,,2,208.0,13.38
overcast clouds,06/07/2019,Fri,85.72,70.0,85.72,1010.32,,2,219.0,12.08
overcast clouds,06/07/2019,Fri,84.83,73.0,84.83,1010.7,,2,236.0,7.16
overcast clouds,06/07/2019,Fri,84.29,74.0,84.29,1012.5,,2,244.0,5.3
overcast clouds,06/08/2019,Sat,83.72,75.0,83.72,1011.66,,2,202.0,4.27
light rain,06/08/2019,Sat,83.31,75.0,83.31,1010.88,,2,173.0,6.62
overcast clouds,06/08/2019,Sat,83.36,76.0,83.36,1012.03,,2,171.0,9.66
overcast clouds,06/08/2019,Sat,85.55,70.0,85.55,1013.09,,2,199.0,11.83
broken clouds,06/08/2019,Sat,87.27,65.0,87.27,1012.73,,2,213.0,12.44
scattered clouds,06/08/2019,Sat,87.17,64.0,87.17,1011.54,,2,225.0,11.43
scattered clouds,06/08/2019,Sat,85.47,71.0,85.47,1012.42,,2,219.0,9.19
light rain,06/08/2019,Sat,84.39,76.0,84.39,1013.51,,2,214.0,8.81
light rain,06/09/2019,Sun,83.73,78.0,83.73,1012.43,,2,206.0,9.24
light rain,06/09/2019,Sun,82.98,79.0,82.98,1011.89,,2,195.0,9.93
light rain,06/09/2019,Sun,83.29,77.0,83.29,1013.2,,2,190.0,10.04
light rain,06/09/2019,Sun,85.37,70.0,85.37,1014.11,,2,196.0,12.71
light rain,06/09/2019,Sun,86.64,66.0,86.64,1013.26,,2,220.0,14.09
light rain,06/09/2019,Sun,86.23,71.0,86.23,1012.34,,2,224.0,14.07
light rain,06/09/2019,Sun,84.54,76.0,84.54,1013.37,,2,204.0,13.42
light rain,06/09/2019,Sun,83.87,78.0,83.87,1014.21,,2,203.0,11.54
light rain,06/10/2019,Mon,83.42,78.0,83.42,1013.12,,2,210.0,13.94
broken clouds,06/10/2019,Mon,83.63,78.0,83.63,1012.28,,2,201.0,15.59
light rain,06/10/2019,Mon,83.93,76.0,83.93,1013.33,,2,217.0,14.67
moderate rain,06/10/2019,Mon,85.01,72.0,85.01,1013.71,,2,231.0,14.14
light rain,06/10/2019,Mon,86.71,70.0,86.71,1012.72,,2,216.0,20.0
light rain,06/05/2019,Wed,83.43,70.0,80.6,1014.58,,3,153.0,3.94
moderate rain,06/05/2019,Wed,81.5,77.0,79.38,1014.5,,3,229.0,2.48
overcast clouds,06/05/2019,Wed,79.39,79.0,77.97,1015.55,,3,167.0,2.77
overcast clouds,06/06/2019,Thu,77.85,81.0,77.14,1014.71,,3,175.0,3.51
overcast clouds,06/06/2019,Thu,76.19,85.0,76.19,1013.03,,3,149.0,4.63
overcast clouds,06/06/2019,Thu,78.53,82.0,78.53,1013.64,,3,150.0,4.14
scattered clouds,06/06/2019,Thu,87.22,58.0,87.22,1014.28,,3,161.0,6.11
broken clouds,06/06/2019,Thu,92.26,46.0,92.26,1013.41,,3,230.0,5.17
